Problem,Result,Time(s),Facility Status,Customer Status
p35,16600,21.938,1 0 1 0 0 1 0 1 1 0 0 1 0 1 1 0 0 1 0 0 1 0 1 0 1 1 0 1 1 0 ,20 11 20 14 28 5 17 24 14 17 25 8 8 13 14 14 14 7 25 11 2 0 5 17 5 8 17 24 11 24 5 25 20 25 20 20 24 24 0 14 0 14 24 8 11 14 17 13 27 8 5 14 14 5 8 8 17 27 0 14 0 5 20 11 11 11 22 0 5 24 20 20 25 0 24 8 22 20 28 22 20 7 13 17 2 17 17 17 20 5 2 24 17 11 17 5 2 2 25 13 8 7 17 25 2 25 7 11 28 14 14 14 2 11 11 27 24 24 24 24 5 8 27 13 8 0 5 24 0 25 0 11 24 5 8 14 17 5 20 17 0 8 20 14 8 25 25 5 2 5 
p36,18175,21.688,1 0 1 0 0 1 0 1 1 1 0 1 0 0 1 0 0 1 0 0 1 0 0 0 1 1 0 0 0 1 ,20 25 8 0 8 5 17 24 14 0 9 20 8 20 17 14 14 17 25 0 2 7 24 17 5 8 17 24 9 24 29 11 20 11 20 20 24 24 0 14 17 14 24 8 24 14 0 20 11 20 5 14 14 5 20 8 17 11 0 17 0 5 8 0 0 11 9 0 24 24 14 20 11 17 24 8 24 20 2 24 20 7 8 17 17 17 2 0 20 29 17 24 17 0 17 24 2 2 25 20 8 7 17 25 2 29 7 11 14 8 14 14 2 11 11 25 24 24 24 24 5 8 25 20 8 0 5 5 0 25 0 11 24 5 8 14 17 5 20 17 0 8 20 14 8 25 25 5 2 5 
p37,16185,21.654,1 0 1 0 0 1 0 1 1 0 0 1 0 0 1 1 1 1 0 1 1 0 0 0 1 1 0 1 1 1 ,8 25 16 14 14 5 2 25 19 17 5 2 8 20 17 8 14 0 27 0 19 0 5 17 5 8 19 24 24 5 29 5 20 27 20 20 5 15 7 14 0 14 15 19 24 14 2 20 27 8 27 2 14 5 28 20 17 11 0 14 0 5 20 11 11 11 24 17 29 5 8 20 5 17 5 20 15 20 14 24 8 7 20 17 7 17 2 7 20 5 2 24 17 11 17 5 2 2 25 16 8 17 17 25 2 25 7 25 14 28 14 14 2 11 11 0 24 24 24 24 5 8 25 20 16 0 5 24 0 25 0 11 24 29 8 14 7 5 20 17 0 8 20 14 8 25 25 5 2 5 
p38,14266,21.716,1 0 1 0 1 1 0 1 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 0 1 1 0 0 0 1 ,13 11 13 14 11 5 17 5 19 17 5 8 8 20 17 14 14 17 5 0 14 4 29 19 25 20 2 24 25 5 5 11 20 5 20 20 5 15 0 17 0 14 5 8 24 0 4 20 11 20 5 2 14 5 20 13 17 7 11 14 0 24 20 11 11 11 25 0 5 29 13 13 5 17 24 8 24 20 14 5 8 7 20 0 17 17 0 4 20 5 17 24 17 0 17 24 2 2 29 13 8 17 17 25 0 29 17 11 14 8 14 14 2 11 11 29 24 15 24 24 5 8 25 13 8 7 5 24 7 25 0 11 24 5 8 14 7 5 20 17 0 8 20 14 8 25 25 5 2 5 
p39,17580,23.018,1 0 1 0 0 1 0 1 1 1 0 1 0 1 1 0 0 1 0 0 1 0 1 0 1 1 0 1 1 0 ,20 17 28 17 28 11 2 9 2 17 5 13 13 20 17 8 0 17 11 0 17 25 22 17 5 20 2 24 25 22 5 11 13 25 20 20 5 24 7 2 0 14 9 20 24 14 7 14 27 8 27 14 14 5 13 20 2 11 0 17 0 24 20 27 11 11 9 0 24 22 20 20 5 17 24 8 24 8 14 24 20 7 13 0 17 17 17 17 20 27 17 24 17 11 17 9 2 2 25 20 20 17 17 25 2 5 17 11 28 28 14 14 2 11 11 27 24 24 24 24 5 8 25 13 8 0 5 9 0 25 0 11 24 25 8 14 17 5 20 17 0 8 20 14 8 25 25 5 2 5 
p40,19662,22.774,1 0 1 0 0 1 0 1 1 0 0 1 0 1 1 0 0 1 0 1 1 0 0 0 1 1 0 0 1 1 ,8 17 13 2 14 5 19 5 17 17 5 20 13 20 19 8 14 17 25 0 2 7 25 2 24 20 19 24 5 5 11 11 20 25 20 20 24 25 0 2 0 8 24 28 24 14 0 13 25 8 29 2 14 11 8 20 14 11 0 14 0 5 20 0 0 11 24 0 5 5 8 13 0 17 24 8 24 20 14 24 20 7 13 17 19 0 0 11 20 29 2 24 17 11 17 5 14 19 29 13 8 17 14 25 19 29 17 11 14 8 14 14 2 11 11 25 24 24 24 24 5 8 25 13 8 0 5 24 0 25 0 11 24 5 8 14 17 5 20 17 0 8 20 14 8 25 25 5 2 5 
p41,7414,4.642,1 1 1 1 1 1 1 1 1 1 ,0 6 4 6 7 7 5 7 8 8 4 6 2 6 2 3 7 3 0 6 6 1 4 1 6 5 5 4 5 5 8 0 4 4 3 9 2 4 6 9 2 7 3 3 3 5 0 5 6 4 1 1 6 6 2 7 2 8 8 8 0 0 1 5 0 6 6 6 4 4 0 4 4 0 7 7 2 2 6 5 7 2 2 9 9 9 9 9 9 9 
p42,7991,3.052,1 1 1 1 0 1 0 0 1 1 1 1 1 0 1 1 0 0 1 1 ,12 10 11 9 15 18 0 3 2 1 11 18 19 10 19 15 0 3 14 14 5 11 9 11 12 8 11 2 2 3 1 19 19 14 14 10 10 0 18 0 1 3 3 12 9 5 8 19 15 15 1 1 1 3 2 5 2 14 14 14 11 11 3 3 11 3 0 15 19 15 10 18 19 19 19 18 18 18 19 19 
p43,8698,2.172,0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 1 0 0 0 1 0 1 1 0 1 0 1 1 1 1 ,12 22 6 28 1 19 19 21 12 10 28 1 1 22 15 6 21 15 12 12 22 19 22 22 22 26 27 6 27 4 10 24 24 24 19 22 27 1 21 6 4 1 27 24 24 26 26 22 26 15 21 19 26 12 6 6 21 22 24 29 10 27 1 29 27 28 1 27 28 29 
p44,7188,4.422,1 1 1 1 1 1 1 1 1 1 ,4 4 4 4 4 4 4 4 0 0 0 0 0 0 6 0 1 1 1 7 1 1 6 2 2 2 2 2 2 2 2 3 3 3 3 3 3 3 3 3 4 0 1 1 2 8 7 5 9 7 7 6 5 5 8 8 7 7 9 5 5 5 9 3 0 6 6 8 1 5 4 7 9 7 7 8 6 6 5 8 7 9 9 9 9 9 6 5 7 5 
