Problem,Result,Time(s),Facility Status,Customer Status
p43,10802,16.99,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,10 5 6 16 22 25 22 0 0 15 27 12 29 10 7 21 8 29 13 28 5 15 17 23 24 7 9 15 22 28 24 21 27 26 15 21 19 19 4 22 25 14 28 7 14 3 2 1 1 20 17 1 16 15 5 8 9 2 17 29 10 4 6 0 1 2 25 16 21 14 
p44,11942,3.624,1 1 1 1 1 1 1 1 1 1 ,7 0 4 4 4 4 4 7 0 6 6 7 0 0 6 0 8 8 8 0 0 7 6 9 2 2 8 2 0 8 2 3 0 0 4 3 0 3 3 3 4 0 0 8 0 8 4 0 9 0 7 7 5 9 2 0 7 0 6 7 5 4 9 9 3 5 9 0 7 0 0 3 7 7 7 0 6 7 0 0 3 7 0 3 9 9 0 7 5 2 
p45,9490,11.433,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,8 8 18 7 9 5 11 10 4 9 17 6 17 10 16 7 11 11 14 12 12 16 2 3 18 18 7 18 15 16 15 9 13 19 13 3 15 15 7 8 10 7 18 6 8 18 10 19 14 13 8 17 17 3 4 11 5 12 3 4 10 9 19 14 14 12 3 19 10 6 8 15 2 6 5 6 19 5 18 18 
p46,9821,15.705,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,26 28 16 14 20 12 7 8 23 23 26 2 1 24 3 14 19 26 0 11 6 5 19 21 28 8 22 14 17 24 20 1 5 9 6 12 29 27 4 7 11 15 5 4 8 6 6 20 9 1 3 7 4 6 11 18 0 27 0 6 1 23 15 6 16 12 0 13 21 10 
p47,11874,3.591,1 1 1 1 1 1 1 1 1 1 ,0 9 0 0 7 5 0 0 2 2 0 7 0 0 0 1 3 4 0 0 2 2 3 0 2 2 7 3 3 7 3 3 7 3 3 4 4 0 4 0 0 4 7 4 7 4 0 5 5 5 7 7 5 5 6 0 7 0 6 6 6 0 7 7 6 0 4 7 7 0 7 7 7 7 8 8 9 6 8 8 0 8 9 7 9 0 7 9 9 4 
p48,8338,11.292,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,17 4 14 5 13 12 19 5 18 4 11 12 10 15 2 12 6 18 10 10 11 9 3 16 19 12 19 12 7 0 10 6 4 2 13 19 6 14 0 13 3 18 11 10 3 18 17 5 11 13 13 9 16 15 4 9 7 15 2 12 15 3 3 0 11 7 9 11 7 17 8 6 3 9 2 3 12 16 3 12 
p49,6625,16.41,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,29 2 15 5 11 0 18 16 23 4 28 19 20 24 8 10 21 0 19 13 14 19 26 23 0 20 21 20 15 2 11 1 29 18 1 29 23 21 19 22 14 15 18 29 7 4 3 26 27 4 12 1 7 6 2 13 29 11 3 26 14 24 14 13 29 7 7 21 12 22 
p50,11229,9.951,1 1 1 1 1 1 1 1 1 1 ,3 5 4 6 7 5 4 3 3 7 4 7 7 4 6 7 2 4 9 5 6 4 0 1 3 3 4 7 0 5 7 7 3 0 5 3 0 9 6 4 4 6 9 4 5 2 5 7 5 7 4 2 3 1 4 8 0 3 5 0 6 7 9 0 1 3 6 4 9 2 6 0 5 2 4 7 3 3 3 3 7 6 4 3 5 5 3 8 4 4 5 4 6 9 5 0 1 4 2 9 
p51,9795,15.808,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,0 15 9 1 7 0 14 10 1 2 15 7 18 8 14 12 9 9 3 17 4 18 13 16 12 5 16 9 6 8 0 11 7 12 17 1 10 7 3 15 0 18 2 13 19 7 19 9 6 9 4 13 1 14 4 11 1 8 13 17 10 0 1 17 13 14 16 15 12 10 17 16 18 2 1 1 3 9 4 7 5 17 12 15 13 17 18 0 6 8 4 9 10 3 14 1 7 0 0 13 
p52,17665,3.866,1 1 1 1 1 1 1 1 1 1 ,7 7 7 7 7 7 0 7 3 7 0 7 3 4 4 0 4 0 4 8 8 8 8 5 0 7 0 9 6 7 7 9 0 9 6 7 6 6 6 0 0 6 0 6 7 0 4 0 0 9 5 0 7 0 0 0 0 3 3 4 1 9 5 9 4 1 1 2 0 0 2 2 7 4 0 5 2 4 7 0 7 3 1 1 1 0 9 9 3 5 4 0 0 4 5 7 0 5 7 7 
p53,12094,13.525,1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 ,8 5 11 6 12 6 11 2 9 18 10 15 7 10 19 18 11 6 19 12 4 18 9 17 4 10 10 13 15 18 16 13 6 8 11 19 9 15 11 10 14 15 8 10 19 17 8 12 9 5 18 15 13 7 19 14 5 16 12 19 15 13 7 15 13 10 7 4 5 6 19 19 17 13 4 11 0 9 18 16 18 17 5 2 13 16 15 10 9 14 5 9 7 13 15 6 15 12 5 14 
p54,14966,3.911,1 1 1 1 1 1 1 1 1 1 ,9 0 7 7 7 7 7 7 7 7 2 2 2 2 9 2 2 3 2 3 7 3 7 7 8 8 0 3 3 8 3 3 7 7 3 3 3 0 3 6 6 0 0 8 7 0 8 0 8 8 8 0 7 6 6 0 0 6 6 6 6 9 0 7 0 0 5 6 6 4 4 0 0 0 9 0 4 4 7 6 0 0 7 4 4 4 4 0 4 0 0 0 0 9 0 9 0 0 9 0 
